theta0_ref,alpha,beta,kappa,phi,Qx_ref,Qy_ref,theta1,theta2,theta3,Qx_prb,Qy_prb,theta0_prb,success,residual_norm,phi_deg,tip_error_percent,slope_error_percent
1.3189177484736052,1.6425414188090142,0.0,0.0,2.0943951023931953,0.5720387818210023,0.7286781660210372,0.7166376842532515,0.4638714148304739,0.13426949786242373,0.5540726254030198,0.7449294394041754,1.3147785969461492,True,1.786140528793978e-12,120.0,2.4225743807134412,0.3138293902137799
1.3398680347393084,1.6918101175098132,0.0,0.0,2.0943951023931953,0.5591270801125992,0.7359129870223793,0.7303782802378656,0.4697621748984117,0.13536733465508793,0.5405820037197637,0.7522060714794803,1.3355077897913652,True,1.9543624575286816e-12,120.0,2.4685713672938996,0.3254234622286167
1.3608183210050118,1.7431369978896198,0.0,0.0,2.0943951023931953,0.5460428741183703,0.7429634341772289,0.7442915209512884,0.47553910549626816,0.13639711262117427,0.5269096256574342,0.759284503026968,1.3562277390687307,True,2.13800714045782e-12,120.0,2.5148727305091207,0.3373398098352123
1.3817686072707152,1.7966722875848464,0.0,0.0,2.0943951023931953,0.5327852298027692,0.7498280295489566,0.7583871488737747,0.48119540159428115,0.1373557166889082,0.5130545142584287,0.7661626012960089,1.3769382671569639,True,2.3354674827384238e-12,120.0,2.5614827152477115,0.3495766287014015
1.4027188935364183,1.8525809190945939,0.0,0.0,2.0943951023931953,0.5193528824502068,0.756505351392432,0.7726756680865133,0.48672371229678274,0.13823982046676794,0.4990153626305858,0.7728382272768641,1.397639200850064,True,2.5474749761112565e-12,120.0,2.6084047750871435,0.36213190752338353
1.4236691798021217,1.9110444788193102,0.0,0.0,2.0943951023931953,0.5057441945617793,0.762994034665742,0.7871684291451239,0.49211607966881077,0.139045863937969,0.4847904936184127,0.7793092276303433,1.4183303727519037,True,2.7747006129876103e-12,120.0,2.6556413626395754,0.3750033452968409
1.444619466067825,1.9722634816538136,0.0,0.0,2.0943951023931953,0.4919571075678256,0.7692927715285647,0.8018777262812385,0.49736386866223153,0.1397700280961748,0.47037781375795185,0.7855734252620117,1.439011623039645,True,3.0173823717394745e-12,120.0,2.7031936802997647,0.3881882502555716
1.4655697523335283,2.0364600379950937,0.0,0.0,2.0943951023931953,0.47798908620012137,0.7754003118290759,0.8168169091949509,0.5024576865057417,0.14040820598753345,0.4557747604704634,0.7916286082854301,1.459682801688226,True,3.273366330515125e-12,120.0,2.751061383354913,0.4016834160181675
1.4865200385992317,2.1038809964253757,0.0,0.0,2.0943951023931953,0.46383705410905574,0.7813154635792015,0.8320005121968089,0.5073872895522644,0.14095596950871495,0.4409782412274951,0.7974725170558837,1.4803437712577883,True,3.5431176017460064e-12,120.0,2.7992422249647713,0.4154849703380635
1.5074703248649348,2.174801666578215,0.0,0.0,2.0943951023931953,0.4494973189738642,0.7870370934211689,0.847444404109962,0.5121414751156181,0.14140853116665983,0.42598456311499006,0.8031028288862712,1.50099441039224,True,3.821126723313247e-12,120.0,2.847731630813663,0.42958818929156267
1.5284206111306382,2.249530254200555,0.0,0.0,2.0943951023931953,0.434965484933435,0.7925641270855842,0.863165963147284,0.5167079552284483,0.14176069982193903,0.4107893508626879,0.8085171399555302,1.5216346181976712,True,4.103193141927785e-12,120.0,2.896522187443764,0.44398726918155795
1.5493708973963416,2.32841317660578,0.0,0.0,2.0943951023931953,0.42023634961255024,0.797895549843966,0.879184282039471,0.5210732084896338,0.14200682920401883,0.3953874509149572,0.8137129438000698,1.5422643197331236,True,4.383345337997089e-12,120.0,2.945603024926861,0.45867504515286267
1.5703211836620448,2.41184147451624,0.0,0.0,2.0943951023931953,0.4053037823073218,0.8030304069574666,0.8955204100478277,0.5252223051698259,0.14214075768491585,0.37977281850319533,0.818687605614431,1.5628834729025696,True,4.649172187476158e-12,120.0,2.9949590690880257,0.4736426431012149
1.5912714699277482,2.5002586002483356,0.0,0.0,2.0943951023931953,0.3901605789551599,0.8079678041246393,0.9121976402862231,0.5291386994361346,0.14215573740579077,0.3639383838625102,0.8234383313761071,1.5834920771281482,True,4.889633159700849e-12,120.0,3.044570132080042,0.488879047140408
