theta0_ref,alpha,beta,beta_for_prb,beta_sign,kappa,phi,Qx_ref,Qy_ref,theta1,theta2,theta3,Qx_prb,Qy_prb,theta0_prb,success,residual_norm,delta_theta_norm,branch_jump_flag,tip_error_percent,slope_error_percent
0.48552892517241986,0.21002530450687626,0.2898449961664864,0.2898449961664864,1,0.1,1.5707963267948966,0.9525755001937879,0.2701163071768683,0.1845372471146304,0.16829571862541673,0.13392806884884545,0.9519943395538543,0.2726099723245762,0.4867610345888926,True,5.551115123125783e-17,0.007889083058949576,False,0.256049088229211,0.25376642926787163
0.4988297516059176,0.21878533556668556,0.29582787939387023,0.29582787939387023,1,0.1,1.5707963267948966,0.949870652323745,0.2775381422890246,0.19015206534405518,0.1729245689336646,0.13698702889568506,0.9492476632431754,0.28013587814984575,0.5000636631734048,True,0.0,0.007893647793878833,False,0.26713942047374806,0.2473612617360497
0.5121305780394153,0.2276776484122447,0.30177981934665193,0.30177981934665193,1,0.1,1.5707963267948966,0.9470910404248578,0.2849405685496222,0.1957845255661138,0.17754987345926246,0.14003046849288656,0.9464244691524124,0.28764318531744143,0.5133648675182628,True,1.2412670766236366e-16,0.007898137418999673,False,0.278360461541276,0.24101069761792698
0.525431404472913,0.2367038091073605,0.30770362955763814,0.30770362955763814,1,0.1,1.5707963267948966,0.9442368636706009,0.2923225075267159,0.20143440433167176,0.18217133763720736,0.14305889117834433,0.9435249334441574,0.29513077204951155,0.5266646331472234,True,1.2412670766236366e-16,0.007902556875804554,False,0.28971010126187297,0.23470783508791798
0.5387322309064108,0.24586558318174592,0.3136020300838283,0.3136020300838283,1,0.1,1.5707963267948966,0.9413083338656878,0.2996829029568138,0.20710150736241276,0.18678866537178626,0.14607277087388265,0.9405492452611957,0.3025975397294448,0.5399629436080817,True,1.5700924586837752e-16,0.007906911090225026,False,0.3011863713025972,0.22844608714060163
0.5520330573399084,0.2551649314632829,0.3194776558467167,0.3194776558467167,1,0.1,1.5707963267948966,0.9383056750675401,0.30702071965553646,0.21278566794621248,0.19140155860580851,0.14907255396126376,0.9374976063393531,0.3100424116825766,0.5532597805132847,True,5.551115123125783e-17,0.007911204971573448,False,0.3127874322243778,0.22221915102106146
0.5653338837734061,0.2646040068256185,0.3253330643052553,0.3253330643052553,1,0.1,1.5707963267948966,0.9352291232249698,0.3143349425428823,0.21848674550183034,0.19600971690343946,0.1520586611677559,0.9343702306389611,0.31746433208305413,0.5665551235730257,True,0.0,0.007915443413976184,False,0.3245115617114061,0.21602098064037564
0.5786347102069038,0.274185151783492,0.331170742538342,0.331170742538342,1,0.1,1.5707963267948966,0.932078925832025,0.32162457577076997,0.2242046242958955,0.2006128370438349,0.15503148928176258,0.9311673439927189,0.3248622649732748,0.579848950621493,True,1.2412670766236366e-16,0.007919631299875177,False,0.33635714384815757,0.20984576161270982
0.5919355366404015,0.2839108968787475,0.336993113804272,0.336993113804272,1,0.1,1.5707963267948966,0.9288553415951607,0.32888864194211376,0.2299392122973858,0.20521061262305385,0.1579914127164073,0.927889183767961,0.33223519338404667,0.5931412376368469,True,1.2412670766236366e-16,0.007923773505259822,False,0.3483226593341642,0.20368788859821493
0.6052363630738993,0.2937839598092049,0.34280254363654006,0.34280254363654006,1,0.1,1.5707963267948966,0.9255586401120737,0.33612618141204315,0.23569044015671456,0.20980273366195676,0.16093878493673625,0.9245359985415181,0.3395821185451032,0.6064319587554076,True,5.551115123125783e-17,0.0079278749063681,False,0.3604066765404251,0.19754194467696018
