theta0_ref,alpha,beta,beta_for_prb,beta_sign,kappa,phi,Qx_ref,Qy_ref,theta1,theta2,theta3,Qx_prb,Qy_prb,theta0_prb,success,residual_norm,delta_theta_norm,branch_jump_flag,phi_deg,tip_error_percent,slope_error_percent
1.2635943571502524,1.3536244900390066,0.0,0.0,1,0.0,2.356194490192345,0.6122288027276221,0.7010423152336112,0.6616235095653653,0.46221081154340254,0.13974347957887945,0.5944010028964242,0.7187220179320551,1.2635778006876472,True,2.437058904071389e-13,0.01052379739523121,False,135.0,2.5107814208461683,0.0013102672160123514
1.2791392866146305,1.376607665849262,0.0,0.0,1,0.0,2.356194490192345,0.6033111415445104,0.7065957379163085,0.6707933128748835,0.46728444729888874,0.14096044982867448,0.5850466842776993,0.7243552516439156,1.2790382100024469,True,2.598699925447255e-13,0.010550264883095848,False,135.0,2.5475296408329204,0.007901923835919712
1.2946842160790086,1.4000692162677435,0.0,0.0,1,0.0,2.356194490192345,0.5943125891628751,0.7120464452561096,0.6800169420033714,0.47232367852571283,0.1421535017646138,0.575606676034978,0.7298798062351813,1.294494122293698,True,2.7759334576250715e-13,0.01057792789629127,False,135.0,2.5844534233727514,0.014682637121061538
1.3102291455433868,1.424029098047429,0.0,0.0,1,0.0,2.356194490192345,0.5852337972231193,0.7173936449271032,0.6892961387305677,0.4773273088166967,0.14332202878646244,0.5660816238431303,0.735294788255888,1.309945476333727,True,2.9683213545786644e-13,0.010606849833558186,False,135.0,2.6215580818567696,0.021650351056881373
1.325774075007765,1.4485081984173234,0.0,0.0,1,0.0,2.356194490192345,0.576075397815791,0.7226365554721288,0.6986327118886175,0.4822940932893435,0.14446540578429834,0.5564721515668695,0.74059931109326,1.3253922109622596,True,3.1676997660396653e-13,0.010637098161271305,False,135.0,2.658849098764986,0.028803100973527087
1.341319004472143,1.473528398658285,0.0,0.0,1,0.0,2.356194490192345,0.5668380016636682,0.7277744061095145,0.7080285411129553,0.4872227357939104,0.1455829880994371,0.5467788594369477,0.7457924943681147,1.3408342650063028,True,3.38136284402518e-13,0.010668744723811456,False,135.0,2.696332122284837,0.03613901422585371
1.3568639339365212,1.499112642741403,0.0,0.0,1,0.0,2.356194490192345,0.5575221961837117,0.7328064365129209,0.7174855808541122,0.49211188593131255,0.14667411041865758,0.53700232211259,0.7508734632781711,1.3562715772040823,True,3.602702667834961e-13,0.0107018660824821,False,135.0,2.734012962717912,0.04365631052778505
1.3724088634008993,1.5252850115304617,0.0,0.0,1,0.0,2.356194490192345,0.5481285434183982,0.7377318965621411,0.7270058646728385,0.4969601358639705,0.14773808559602603,0.5271430866207042,0.7558413478832955,1.371704086132835,True,3.852237925836195e-13,0.010736543884168455,False,135.0,2.771897588586459,0.05135330198304896
1.3879537928652774,1.5520708031094623,0.0,0.0,1,0.0,2.356194490192345,0.5386575778246099,0.7425500460625972,0.7365915098439377,0.5017660169013295,0.1487742033961284,0.5172016701607332,0.7606952823275566,1.3871317301413955,True,4.101871318685197e-13,0.01077286526357565,False,135.0,2.8099921223946516,0.059228392768386685
1.4034987223296556,1.57949661985936,0.0,0.0,1,0.0,2.356194490192345,0.5291098039072331,0.7472601544308605,0.7462447222960249,0.5065279958393982,0.1497817291517929,0.507178557763761,0.7654344039919498,1.402554447287216,True,4.3795607812432326e-13,0.010810923281573515,False,135.0,2.8483028359258364,0.06728007852206322
1.4190436517940337,1.6075904629862277,0.0,0.0,1,0.0,2.356194490192345,0.5194856936827451,0.7518615003435187,0.7559678019187402,0.5112444710321431,0.1507599023288245,0.49707419979182915,0.7700578525716784,1.4179721752797079,True,4.663953768267801e-13,0.01085081740504854,False,135.0,2.886836145044975,0.07550694532696015
1.434588581258412,1.636381835282443,0.0,0.0,1,0.0,2.356194490192345,0.5097856839570378,0.7563533713459839,0.7657631482704336,0.5159137681691626,0.15170793498927276,0.4868890092639423,0.7745647690702047,1.433384851428869,True,4.977409317560849e-13,0.010892654030523807,False,135.0,2.9255986038265642,0.08390766839139228
1.4501335107227902,1.6659018530054772,0.0,0.0,1,0.0,2.356194490192345,0.5000101733991366,0.760735063417969,0.775633266725415,0.5205341357324174,0.1526250101441002,0.4766233589912609,0.7789542947025793,1.4487924126019327,True,5.303790452580402e-13,0.010936547059037587,False,135.0,2.9645968979787796,0.09248101026153323
1.4656784401871683,1.6961833678625104,0.0,0.0,1,0.0,2.356194490192345,0.4901595193911412,0.7650058804914418,0.7855807751018299,0.5251037401004823,0.153510279984868,0.4662775785045867,0.7832255696984871,1.46419479518718,True,5.654024182030034e-13,0.010982618525217744,False,135.0,3.0038378373510923,0.10122581865901956
1.4812233696515464,1.7272611002200475,0.0,0.0,1,0.0,2.356194490192345,0.48023403463180797,0.7691651339167472,0.7956084108177105,0.5296206602660294,0.15436286398308502,0.4558519507534895,0.7873777319951835,1.479591935066825,True,6.018121690581676e-13,0.011030999288656754,False,135.0,3.043328347411788,0.1101410238420199
1.4967682991159246,1.7591717848025017,0.0,0.0,1,0.0,2.356194490192345,0.47023398346851425,0.7732121418720194,0.805719038628152,0.5340828821280794,0.15518184684454947,0.44534670855423436,0.7914099158091662,1.4949837676007807,True,6.407787199978674e-13,0.011081829794524113,False,135.0,3.0830754595475693,0.1192256354038197
1.5123132285803027,1.791954330305826,0.0,0.0,1,0.0,2.356194490192345,0.4601595779297915,0.7771462287100875,0.8159156590013468,0.5384882923152684,0.15596627630442284,0.43476203076257086,0.7953212500734408,1.510370227621038,True,6.819173669473536e-13,0.011135260909828602,False,135.0,3.123086299911587,0.12847873856718856
1.5278581580446808,1.82564999455202,0.0,0.0,1,0.0,2.356194490192345,0.4500109734262612,0.7809667242368689,0.8262014172007711,0.5428346714921689,0.1567151607473169,0.4240980381419537,0.799110856726653,1.525751249440257,True,7.263527124540169e-13,0.011191454847124577,False,135.0,3.163368076679587,0.13789948977464228
1.543403087509059,1.8603025770266566,0.0,0.0,1,0.0,2.356194490192345,0.43978826408445604,0.7846729629140301,0.8365796131470423,0.5471196870937576,0.15742746663460613,0.41335478889636323,0.8027778488377291,1.5411267668754058,True,7.730123839562989e-13,0.011250586183933944,False,135.0,3.2039280654060738,0.14748711157024735
1.558948016973437,1.8959586309011385,0.0,0.0,1,0.0,2.356194490192345,0.42949147767317697,0.7882642829779083,0.847053712142981,0.5513408854264802,0.15810211571907476,0.40253227383231677,0.8063213285478767,1.556496713288536,True,8.22176963303942e-13,0.011312842990516466,False,135.0,3.24477359217707,0.15724088668846067
1.5744929464378152,1.9326676969450873,0.0,0.0,1,0.0,2.356194490192345,0.4191205700762543,0.7917400254658532,0.8576273565574098,0.5554956830668704,0.15873798202460074,0.391630411108891,0.8097403848098157,1.5718610216488809,True,8.737210302379162e-13,0.011378428080973132,False,135.0,3.285912014285656,0.16716015113874746
1.5900378759021934,1.970482562075441,0.0,0.0,1,0.0,2.356194490192345,0.4086754192603125,0.7950995331394378,0.8683043785732713,0.5595813574784795,0.1593338885655732,0.3806490405318535,0.8130340909005114,1.587219624617324,True,9.26814887480508e-13,0.011447560400820797,False,135.0,3.3273506979522036,0.17724428628910854
1.6055828053665717,2.0094595457071756,0.0,0.0,1,0.0,2.356194490192345,0.3981558186778985,0.7983421492931666,0.8790888141230333,0.563595036758466,0.15988860377765704,0.36958791733888213,0.8162015016815315,1.6025724546591562,True,9.839628653483797e-13,0.011520476572437524,False,135.0,3.369096992737918,0.1874927096474613
1.6211277348309499,2.0496588175396333,0.0,0.0,1,0.0,2.356194490192345,0.38756147003910574,0.8014672164350957,0.8899849181482533,0.5675336884117327,0.16040083762756444,0.35844670541875334,0.8192416505765217,1.6179194441875506,True,1.043323881041915e-12,0.011597432616367599,False,135.0,3.411158202057497,0.19790486427855628
1.636672664295328,2.091144750983685,0.0,0.0,1,0.0,2.356194490192345,0.37689197537427577,0.8044740748243275,0.9009971813419616,0.5713941070371057,0.16086923736525854,0.3472249698968148,0.8221535462317772,1.6332605257443258,True,1.1056445555198868e-12,0.011678705875434191,False,135.0,3.4535415492600188,0.2084802065458397
1.6522175937597061,2.1339863170953115,0.0,0.0,1,0.0,2.356194490192345,0.36614682829953854,0.8073620608478709,0.912130348554018,0.575172900792851,0.16129238287686262,0.33592216901078387,0.8249361688204947,1.6485956322237316,True,1.1705810821292367e-12,0.011764597168796617,False,135.0,3.4962541385813823,0.21921819194120395
