theta0,kappa,phi,alpha,beta,Qx,Qy,theta1,theta2,theta3,tau1,tau2,tau3,k1_point,k2_point,k3_point,reconstruction_error,branch_used,ik_success
0.6980708561641824,0.0,1.5707963267948966,0.8460442400043707,0.0,0.8716085165705287,0.445481585977658,0.3499352392217461,0.25985283134010545,0.08828278560233088,1.3056298819656258,0.7492911208113312,0.1944421729284248,3.731061452597169,2.8835210951795633,2.202492497283537,1.2412670766236366e-16,plus,True
0.7083446570151549,0.0,1.5707963267948966,0.8638132057129765,0.0,0.8678398929239709,0.45145954842773367,0.3554920449758283,0.2634049202839515,0.08944769175537509,1.326540478761928,0.7596779704954882,0.19680425010153144,3.731561641139188,2.884069020717428,2.2002160842759264,1.6653345369377348e-16,plus,True
0.7186184578661273,0.0,1.5707963267948966,0.8818777654272174,0.0,0.8640178275158579,0.4574134611777231,0.3610705351859884,0.26694201589110456,0.09060590678903435,1.347540668952484,0.7700311831239045,0.19914104569177135,3.732070433989753,2.8846383756914027,2.1978814930405015,1.1102230246251565e-16,plus,True
0.7288922587170998,0.0,1.5707963267948966,0.9002479279193748,0.0,0.8601423250335917,0.4633430789596367,0.36667136871740796,0.2704636228727544,0.09175726712693749,1.3686331060706136,0.7803497994982275,0.20145189905799252,3.7325878779627684,2.885230151137036,2.1954871299654433,1.1102230246251565e-16,plus,True
0.7391660595680722,0.0,1.5707963267948966,0.9189341009506672,0.0,0.8562133841637833,0.469248162143327,0.3722952274046688,0.27396922680346697,0.09290160535993647,1.3898205326068156,0.7906328320950837,0.20373613091125958,3.733114018934604,2.885845397016971,2.1930313273049227,1.2412670766236366e-16,plus,True
0.7494398604190448,0.0,1.5707963267948966,0.9379471131391977,0.0,0.8522309971562102,0.4751284769379558,0.37794281721961787,0.27745829309133696,0.09403875010808993,1.4111057843929748,0.8008792639478836,0.20599304245626193,3.7336489016352936,2.8864852263912715,2.1905123390037575,5.551115123125783e-17,plus,True
0.7597136612700172,0.0,1.5707963267948966,0.9572982372744206,0.0,0.8481951493623303,0.4809837956034117,0.38361486951110896,0.28093026588064196,0.09516852587826624,1.4324917952436615,0.8110880474797909,0.20822191448400787,3.734192569410239,2.8871508199276597,2.187928336205949,1.6653345369377348e-16,plus,True
0.7699874621209897,0.0,1.5707963267948966,0.976999215200914,0.0,0.8441058187460942,0.48681389667316416,0.38931214232328315,0.28438456688157754,0.09629075291612899,1.4539816018827354,0.8212581032911556,0.2104220064138917,3.7347450639629813,2.8878434308045313,2.1852774024643167,1.1102230246251565e-16,plus,True
0.7802612629719621,0.0,1.5707963267948966,0.9970622843952984,0.0,0.8399629753652537,0.49261856518899083,0.3950354217977943,0.28782059412121064,0.09740524705295717,1.4755783491712435,0.8313883188968736,0.21259255528073465,3.735306425069253,2.888564390033706,2.182557528601643,5.551115123125783e-17,plus,True
0.7905350638229346,0.0,1.5707963267948966,1.0175002063760121,0.0,0.8357665808209571,0.49839759294852687,0.4007855236666624,0.29123772060911574,0.09851181954715643,1.4972852956597933,0.8414775474122129,0.21473277466295299,3.7358766902596545,2.8893151122467433,2.1797666071954236,1.2412670766236366e-16,plus,True
0.800808864673907,0.0,1.5707963267948966,1.0383262970985059,0.0,0.8315165876732608,0.5041507787665995,0.406563294842912,0.2946352929106108,0.09961027692038421,1.5191058194898228,0.8515246061852477,0.2168418535475532,3.7364558944672446,2.8900971019910746,2.1769024266529144,1.5700924586837752e-16,plus,True
0.8110826655248795,0.0,1.5707963267948966,1.059554459505714,0.0,0.827212938819804,0.5098779287516446,0.41236961511717185,0.2980126296199025,0.10070042078780517,1.5410434246735585,0.8615282753758352,0.21891895512778684,3.7370440696404903,2.890911960592622,2.173962664854107,1.1102230246251565e-16,plus,True
0.8213564663758519,0.0,1.5707963267948966,1.081199218414815,0.0,0.822855566835031,0.5155788565980359,0.41820539896839937,0.3013690197244151,0.10178204768303745,1.5631017477776672,0.8714872964772158,0.22096321552775058,3.7376412443106193,2.89176139363675,2.1709448823024156,1.5700924586837752e-16,plus,True
0.8316302672268244,0.0,1.5707963267948966,1.10327575794799,0.0,0.8184443932665223,0.5212533838961161,0.4240715974989331,0.30470372085100245,0.1028549488768889,1.5852845650492127,0.8814003707824264,0.22297374244949605,3.738247443117671,2.892647219143818,2.167846514768891,1.5700924586837752e-16,plus,True
0.8419040680777968,0.0,1.5707963267948966,1.125799961725493,0.0,0.8139793278853703,0.5269013404608061,0.429969200503438,0.3080159573836311,0.10391891019072774,1.6075958000122863,0.8912661577906352,0.2249496137356401,3.7388626862807866,2.893571376500378,2.16466486535298,1.1102230246251565e-16,plus,True
0.8521778689287693,0.0,1.5707963267948966,1.1487884560703308,0.0,0.80946026788669,0.532522564680627,0.43589923868362646,0.3113049184410762,0.10497371180406667,1.6300395315775877,0.9010832735545972,0.2268898758415925,3.7394869890118403,2.8945359362356307,2.161397095923237,1.1102230246251565e-16,plus,True
0.8624516697797417,0.0,1.5707963267948966,1.1722586564962658,0.0,0.8048870970362131,0.5381169038887704,0.4418627860212757,0.3145697557019176,0.10601912805654845,1.6526200027064482,0.9108502889682901,0.22879354221022039,3.740120360864412,2.895543110735034,2.158040217876406,1.1102230246251565e-16,plus,True
0.8727254706307143,0.0,1.5707963267948966,1.1962288177851108,0.0,0.8002596847581573,0.5436842147585207,0.447860962324109,0.31780958106288804,0.10705492724371724,1.6753416296816497,0.9205657279978294,0.23065959154215562,3.7407628050181225,2.896595266005112,2.1545910821745236,0.0,plus,True
0.8829992714816867,0.0,1.5707963267948966,1.2207180879740251,0.0,0.7955778851602825,0.5492243637238474,0.4538949359578519,0.3210234641150266,0.10808087140880818,1.6982090120197522,0.9302280658472938,0.23248696595077023,3.7414143174698156,2.897694934579554,2.1510463685234815,0.0,plus,True
0.8932730723326592,0.0,1.5707963267948966,1.245746566639959,0.0,0.7908415359895733,0.5547372274290399,0.459965926784054,0.324210429420391,0.10909671612821414,1.7212269431025733,0.939835727072204,0.2342745689959163,3.7420748861483806,2.89884482973728,2.147402573699734,1.1102230246251565e-16,plus,True
0.9035468731836316,0.0,1.5707963267948966,1.2713353678795256,0.0,0.7860504575133981,0.560222693208644,0.4660752093204427,0.32736945357012015,0.11010221029306871,1.7444004215734257,0.9493870836337986,0.23602126358375447,3.742744489922206,2.9000478611558878,2.1436559988715573,1.1102230246251565e-16,plus,True
