endpoint_margin,beta_sign,theta0_ref,alpha,beta,beta_for_prb,kappa,phi,Qx_ref,Qy_ref,theta1,theta2,theta3,Qx_prb,Qy_prb,theta0_prb,success,residual_norm,tip_error_percent,slope_error_percent,delta_theta_norm,branch_jump_flag
0.02,1,0.9359065554224892,0.16343805867910136,0.8085494633703033,0.8085494633703033,1.0,1.5707963267948966,0.8498030448966467,0.45517608131601545,0.3001324686244742,0.31577679120662316,0.32459215076592607,0.8492609233155257,0.45573480057634186,0.9405014105970234,True,1.5700924586837752e-16,0.07785004949110931,0.49095234432458407,0.012056864582018002,False
0.02,1,0.9567226135002731,0.17039306219055445,0.8255738905526372,0.8255738905526372,1.0,1.5707963267948966,0.8432327947853332,0.46394831112131846,0.30731130520287653,0.3227342936790952,0.33133076551652374,0.8426616654920625,0.4645436165830636,0.9613763643984955,True,1.5700924586837752e-16,0.0824971067623299,0.48642635101893816,0.012056179495629376,False
0.02,1,0.977538671578057,0.17750976557463505,0.8426381562085473,0.8426381562085473,1.0,1.5707963267948966,0.8365418696678778,0.47262005931787654,0.31450469531157565,0.32968209958273437,0.33806266595226364,0.8359407058233908,0.47325252818261054,0.9822494608465737,True,2.7194799110210365e-16,0.08725908736494849,0.4819031108929994,0.01205551125449639,False
0.02,1,0.9983547296558408,0.18479145060476834,0.8597475224849871,0.8597475224849871,1.0,1.5707963267948966,0.829732204092028,0.48118913178688927,0.3217123637071094,0.3366196791072737,0.3447886716053411,0.8290999481986135,0.48185931988714303,1.0031207144197243,True,2.482534153247273e-16,0.09213574792006754,0.47738390196502783,0.012054859825170629,False
0.02,1,1.0191707877336247,0.19224159932943052,0.8769072911760525,0.8769072911760525,1.0,1.5707963267948966,0.8228057794671328,0.4896533820639233,0.328934046818201,0.34354649140770227,0.3515096028808785,0.8221413422597522,0.4903618229064318,1.0239901411067818,True,1.1102230246251565e-16,0.0971269905786224,0.47287004603753385,0.012054225516925234,False
0.02,1,1.0399868458114085,0.19986389899791515,0.894122808115116,0.894122808115116,1.0,1.5707963267948966,0.8157646231162007,0.49801071216057224,0.33616949244292316,0.3504619841137483,0.3582262818811174,0.8150668824951876,0.4987579158038146,1.044857758437789,True,3.3306690738754696e-16,0.10223283516984522,0.4683629072808186,0.01205360898436384,False
0.02,1,1.0608029038891924,0.20766224743203882,0.9113994677023656,0.9113994677023656,1.0,1.5707963267948966,0.8086108073218661,0.506259073378613,0.34341845946369953,0.3573655928164176,0.3649395332373606,0.807878607331928,0.5070455251468517,1.0657235855174778,True,2.220446049250313e-16,0.10745339496876188,0.4638638912322776,0.012053011232052208,False
0.02,1,1.0816189619669763,0.21564075886302608,0.9287427175768886,0.9287427175768886,1.0,1.5707963267948966,0.8013464483665179,0.514396467116793,0.35068071758018926,0.36425674053064794,0.37165018495117047,0.8005785982266408,0.5152226261528805,1.0865876430620076,True,2.220446049250313e-16,0.1127888553988545,0.4593744442123648,0.01205243362122032,False
0.02,1,1.1024350200447601,0.22380377025460307,0.9461580634431079,0.9461580634431079,1.0,1.5707963267948966,0.7939737055668717,0.5224209456704302,0.3579560470601376,0.3711348371330502,0.37835906924636614,0.7931689787553828,0.5232872433296631,1.1074499534395539,True,1.1102230246251565e-16,0.1182394551544287,0.4548960531560527,0.012051877878575852,False
0.02,1,1.123251078122544,0.2321558481352697,0.9636510740621207,0.9636510740621207,1.0,1.5707963267948966,0.786494780303268,0.5303306130240357,0.3652442385083243,0.3779992787736056,0.38506702343342275,0.785651913701958,0.5312374511113138,1.1283105407153526,True,2.482534153247273e-16,0.12380546935180836,0.45043024585965946,0.012051346107288747,False
0.02,1,1.1440671362003278,0.2407017959648,0.9812273864192744,0.9812273864192744,1.0,1.5707963267948966,0.778911915043991,0.5381236256372056,0.3725450926537935,0.38484944726009074,0.3917748907879259,0.7780296081448308,0.5390713744896919,1.14916943070181,True,2.220446049250313e-16,0.12948719441299272,0.44597859164349185,0.012050840800220407,False
0.02,1,1.1648831942781117,0.24944666206226904,0.9988927110801621,0.9988927110801621,1.0,1.5707963267948966,0.7712273923649161,0.5457981932240599,0.3798584201555996,0.3916847094138862,0.39848352144480187,0.7703043065425231,0.5467871896414421,1.1700266510142878,True,2.220446049250313e-16,0.13528493445679246,0.44154270243065497,0.012050364855478826,False
